sample,reads,acgtnbases,acgtbases,theoretical_coverage
001_011_1_1,54443726,6399983488,6399950744,10.3225012
003_011_2_1,56919411,6799571508,6799535200,10.966992258064517
007_011_3_1,62782420,7432887313,7432851440,11.988470064516129
012_011_5_2,54155733,6231062652,6231028663,10.050046230645162
013_012_1_3,32098763,3954773906,3954754585,6.378636427419355
015_012_2_1,31715605,3923221653,3923200597,6.327742898387097
019_012_3_1,29554833,3679774776,3679755133,5.935088924193549
024_012_5_4,74981517,8592094025,8592047548,13.858141206451613
025_013_1_3,35779710,4268874992,4268851382,6.885244164516129
027_013_2_1,38758509,4881643196,4881616553,7.873575085483871
029_013_3_1,36408698,4534829369,4534805111,7.314201791935484
036_013_5_3,37577566,4630580061,4630555189,7.468637401612903
037_014_1_1,73726891,8611890372,8611842711,13.890068888709678
039_014_2_1,28217590,3516155020,3516134631,5.671184888709678
042_014_3_1_d1,40729518,5141625674,5141598255,8.292900411290322
042_014_3_1_d2,36704851,4547202297,4547178725,7.334159233870968
042_014_3_1_d3,24864197,3122909022,3122899186,5.036934170967742
042_014_3_1_d4,29675250,3681799775,3681780386,5.938355461290323
045_014_4_1,34365108,4293322158,4293299273,6.924676246774194
050_015_1_1,13943237,1730969068,1730959737,2.791870543548387
052_015_2_1,63157254,7566242381,7566200262,12.20354880967742
056_015_3_3,31408199,3869833935,3869811695,6.241631766129032
060_015_5_1,36774867,4488857895,4488834614,7.240055829032258
062_016_1_1,39474153,4895125338,4895099526,7.895321816129032
064_016_2_1,36473577,4470789773,4470765646,7.210912332258064
068_016_3_2,51120957,6083253608,6083220081,9.811645291935484
073_016_5_4,27797380,3300418575,3300400690,5.3232269193548385
075_017_1_3,33642309,4223969072,4223946328,6.812816658064516
076_017_2_1,36545794,4476543537,4476520277,7.22019399516129
078_017_3_1,36185950,4391921733,4391897961,7.083706388709677
085_017_5_4,69708764,8214937010,8214892057,13.249825898387098
086_018_1_2,30971511,3841356681,3841334436,6.195700703225806
088_018_2_1,37105233,4688912408,4688887115,7.562721153225806
093_018_3_2,31876819,3966107022,3966086011,6.3969129209677416
097_018_5_1,19958628,2392310607,2392298303,3.85854565
099_020_1_2,44866648,5299766968,5299737863,8.54796429516129
101_020_2_1,15798427,1936133700,1936122670,3.1227785
105_020_3_2,27876235,3504859090,3504840628,5.652968754838709
110_020_5_4,28486317,3511913342,3511895128,5.664346980645162
111_021_1_2,35218531,4036850166,4036828489,6.511013691935484
112_021_1_3,27350642,3340918733,3340900860,5.388549774193549
113_021_3_3,37129539,4583254820,4583230941,7.392307969354839
114_021_5_2,30002587,3679680563,3679662618,5.934939706451613
115_022_1_2,11922787,1490278596,1490271345,2.4036634596774196
116_022_1_3,66496854,7793330212,7793287208,12.569818077419354
117_022_3_3,30281607,3691845126,3691824178,5.9545551258064515
118_022_5_4,38055900,4699229651,4699204350,7.57936185483871
119_024_1_2,29766186,3662826131,3662807050,5.907753306451613
120_024_1_4,17032215,2140628866,2140617248,3.4526084645161292
121_024_3_3,60292624,7111732731,7111693669,11.470473659677419
122_024_5_1,25891871,3165211881,3165193523,5.105150843548387
123_025_1_1,31645011,3990819371,3990798173,6.436771246774193
124_025_1_3,33725464,4209667521,4209645623,6.78975100483871
125_025_3_1,32392785,3982814943,3982793678,6.4238607709677416
126_025_5_3,62767106,7301002807,7300963178,11.775747061290323
127_026_1_3,29063182,3587205243,3587184723,5.785781811290323
128_026_1_4,33871154,4339503062,4339479684,6.999160780645162
129_026_3_4,28050319,3539442816,3539423461,5.708747517741935
130_026_5_4,30192389,3713863971,3713844113,5.99007115
131_028_1_2,47220288,5378569628,5378541352,8.675066696774193
132_028_1_3,15751680,1841725315,1841719395,2.9705151532258065
133_028_3_3,41995986,5251679702,5251653404,8.470408716129032
134_028_5_1,41249125,5139283437,5139256197,8.289122898387097
135_029_1_1,40635072,4888265408,4888239567,7.884257366129032
136_029_1_2,52257591,6211849182,6211814387,10.019055462903227
137_029_3_2,38354943,4687021139,4686994553,7.5596686338709675
138_029_5_2b,40103450,5145525054,5145496961,8.299188646774194
139_030_1_1,42616580,5340763199,5340734874,8.614088506451614
140_030_1_3,43831411,5390701837,5390672634,8.694633280645162
141_030_3_2,47573065,5779976359,5779943539,9.322489579032258
142_030_5_2,39768189,4838862207,4838834618,7.804571964516129
143_031_1_1,55858945,6915299639,6915262720,11.153649548387097
144_031_1_3,40127814,5099024512,5098996943,8.224188617741936
145_031_3_3,46747000,5578363376,5578334049,8.997312982258064
146_031_5_2,44749830,5285058536,5285029334,8.524240861290323
