run,library,sample,Include,project,runlib
2020-S4-BVZ,O_australiensis_-_300131_VR_1_S85_L002_001,Oryza_australiensis_300131_VR,Y,AaronOryza,2020-S4-BVZ_O_australiensis_-_300131_VR_1_S85_L002_001
2020-S4-BVZ,O_australiensis_-_300131_VR_2_S86_L002_001,Oryza_australiensis_300131_VR,Y,AaronOryza,2020-S4-BVZ_O_australiensis_-_300131_VR_2_S86_L002_001
2020-S4-BVZ,O_australiensis_-_300134_CH_1_S93_L002_001,Oryza_australiensis_300134_CH,Y,AaronOryza,2020-S4-BVZ_O_australiensis_-_300134_CH_1_S93_L002_001
2020-S4-BVZ,O_australiensis_-_300134_CH_2_S94_L002_001,Oryza_australiensis_300134_CH,Y,AaronOryza,2020-S4-BVZ_O_australiensis_-_300134_CH_2_S94_L002_001
2020-S4-BVZ,O_australiensis_-_300137_D_1_S95_L002_001,Oryza_australiensis_300137_D,Y,AaronOryza,2020-S4-BVZ_O_australiensis_-_300137_D_1_S95_L002_001
2020-S4-BVZ,O_australiensis_-_300137_D_2_S96_L002_001,Oryza_australiensis_300137_D,Y,AaronOryza,2020-S4-BVZ_O_australiensis_-_300137_D_2_S96_L002_001
2020-S4-BVZ,O_australiensis_-_Keep_River_1_S91_L002_001,Oryza_australiensis_Keep_River,Y,AaronOryza,2020-S4-BVZ_O_australiensis_-_Keep_River_1_S91_L002_001
2020-S4-BVZ,O_australiensis_-_Keep_River_2_S92_L002_001,Oryza_australiensis_Keep_River,Y,AaronOryza,2020-S4-BVZ_O_australiensis_-_Keep_River_2_S92_L002_001
2020-S4-BVZ,O_meridionalis_BH_1_S87_L002_001,Oryza_meridionalis_BH,Y,AaronOryza,2020-S4-BVZ_O_meridionalis_BH_1_S87_L002_001
2020-S4-BVZ,O_meridionalis_BH_2_S88_L002_001,Oryza_meridionalis_BH,Y,AaronOryza,2020-S4-BVZ_O_meridionalis_BH_2_S88_L002_001
2020-S4-BVZ,O_sativa_-_Javanica_1_S89_L002_001,Oryza_sativa_Javanica,Y,AaronOryza,2020-S4-BVZ_O_sativa_-_Javanica_1_S89_L002_001
2020-S4-BVZ,O_sativa_-_Javanica_2_S90_L002_001,Oryza_sativa_Javanica,Y,AaronOryza,2020-S4-BVZ_O_sativa_-_Javanica_2_S90_L002_001
2020-S4-BVZ,A_acuminata_ANBG_1_S38_L002_001,Acacia_acuminata_ANBG,Y,AcaciaPan,2020-S4-BVZ_A_acuminata_ANBG_1_S38_L002_001
2020-S4-BVZ,A_acuminata_ANBG_2_S39_L002_001,Acacia_acuminata_ANBG,Y,AcaciaPan,2020-S4-BVZ_A_acuminata_ANBG_2_S39_L002_001
2020-S4-BVZ,A_dealbata_1_S82_L002_001,Acacia_dealbata,Y,AcaciaPan,2020-S4-BVZ_A_dealbata_1_S82_L002_001
2020-S4-BVZ,A_dealbata_2_S83_L002_001,Acacia_dealbata,Y,AcaciaPan,2020-S4-BVZ_A_dealbata_2_S83_L002_001
2020-S4-BVZ,A_melanoxylon_1_S78_L002_001,Acacia_melanoxylon,Y,AcaciaPan,2020-S4-BVZ_A_melanoxylon_1_S78_L002_001
2020-S4-BVZ,A_melanoxylon_2_S79_L002_001,Acacia_melanoxylon,Y,AcaciaPan,2020-S4-BVZ_A_melanoxylon_2_S79_L002_001
2020-S4-BVZ,A18_10_S92_L001_001,A18_10,Y,AnnaMeta,2020-S4-BVZ_A18_10_S92_L001_001
2020-S4-BVZ,B35_15_S90_L001_001,B35_15,Y,AnnaMeta,2020-S4-BVZ_B35_15_S90_L001_001
2020-S4-BVZ,C29_10_S86_L001_001,C29_10,Y,AnnaMeta,2020-S4-BVZ_C29_10_S86_L001_001
2020-S4-BVZ,D3_13_S87_L001_001,D3_13,Y,AnnaMeta,2020-S4-BVZ_D3_13_S87_L001_001
2020-S4-BVZ,E17_10_S84_L001_001,E17_10,Y,AnnaMeta,2020-S4-BVZ_E17_10_S84_L001_001
2020-S4-BVZ,Ex1_C_S83_L001_001,Ex1_C,Y,AnnaMeta,2020-S4-BVZ_Ex1_C_S83_L001_001
