sample_id	accession_id	CurrentName	plate	well	has_seed	RowTree	Voucher	Provenance	RowNum	YearPlanted	TreeNum	DNNumber	FieldComments	Date	FieldDetermination	Location	Description	Latitude	Longitude	Genus	Subgenus	Section	Series	Subseries	Species	Subspecies
EmelCSIRO-rep1	EmelCSIRO		CC01	B01	Yes																					
CCA0137	CCA0137	Eucalyptus bicostata	CC01	C01	Yes	R013/T38	DN 468	Otway Ranges, Vic	13	1994	38	468		1993-07-15	Eucalyptus bicostata	Otway Ranges, east or Deanes Marsh, Vic.	Tree 18m tall, others to 30m. Bark smooth olive or grey over white. Leaves glossy, dark green, buds glaucous.	-38.4166666666667	143.933333333333	Eucalyptus	Symphyomyrtus	Maidenaria	Globulares	Euglobulares	bicostata	""
CCA0164	CCA0164	Eucalyptus brunnea	CC01	D01	No	R014/T39	DN 669	Wallangarra, Qld	14	1994	39	669		1993-12-05	Eucalyptus brunnea	Girraween National Park, Qld.	Tree 25m tall. Bark smooth grey over white. Leaves discolourous, glossy dark green. Growing in creek with E. andrewsii. Warwick.	-28.8825	151.965833333333	Eucalyptus	Symphyomyrtus	Maidenaria	'Deaneanae' ms	""	brunnea	""
CCA0465	CCA0465	Eucalyptus polybractea	CC01	E01	Yes	R028/T25	-	Narinna Pound, SA	28	1993	25									Eucalyptus	Symphyomyrtus	Adnataria	Subbuxeales	""	polybractea	""
CCA0218	CCA0218	Eucalyptus stellulata	CC01	F01	Yes	R016/T44	DN 582	Omeo, Vic	16	1994	44	582		1993-11-28	Eucalyptus stellulata	Vic.	Small tree 9m tall. Bark rough and thick, dark grey for about 3m then smooth grey and olive. Leaves glossy dark green. Growing on swampy hillside with E. pauciflora. Bairnsdale.	-37.0130555555556	147.569166666667	Eucalyptus	Eucalyptus	Eucalyptus	Longitudinales	""	stellulata	""
CCA0466	CCA0466	Eucalyptus polybractea	CC01	G01	No	R028/T26	-	Narinna Pound, SA	28	1993	26									Eucalyptus	Symphyomyrtus	Adnataria	Subbuxeales	""	polybractea	""
CCA0525	CCA0525	Eucalyptus porosa	CC01	H01	Yes	R040/T12	DN 482	Mt Wudinna, SA	40	1994	12	482		1993-09-25	Eucalyptus porosa	West side of base of Mt. Wudinna, South Australia	Large mallee 6 metres tall. Bark rough, thick dark grey over grey. Leaves glossy green, intramarginal vein well in from leaf edge. Glands moderately dense. Growing in pure stand with Dodonaea  understory. Flowers white.	-32.9858333333333	135.546944444444	Eucalyptus	Symphyomyrtus	Adnataria	Melliodorae	""	porosa	""
CCA0572	CCA0572	Eucalyptus sparsa	CC01	A02	No	R042/T08	DN 427	Everard Ranges, SA	42	1994	8	427		1993-05-15	Eucalyptus sparsa	200 m west of Ronalds Well, Everard Ranges, South Australia.	Large mallee 5 m tall. Rough bark for 2 m, then smooth above. Leaves very glossy, green. Growing on sandplain.	-27.0094444444444	132.515555555556	Eucalyptus	Symphyomyrtus	Adnataria	Buxeales	Subplatyphyllae	sparsa	""
CCA0650	CCA0650	Eucalyptus intertexta	CC01	B02	No	R045/T13	DN 423	Everard Ranges, SA	45	1994	13	423		1993-05-15	Eucalyptus intertexta (diminuta)	Base of Mount Barnett, Everard Ranges, SA	Mallee 2m tall. Bark smooth throughout, various shades of white and grey. Leaves dull, grey. Branchlets and fruit glaucous. Growing on granite with E. oxymitra.	-27.0388888888889	132.548611111111	Eucalyptus	Symphyomyrtus	Adnataria	Buxeales	Subplatyphyllae	intertexta	""
CCA0672	CCA0672	Eucalyptus polyanthemos subsp. polyanthemos	CC01	C02	Yes	R046/T36	DN 742	Rylstone, NSW	46	1994	36	742		1993-12-28	Eucalyptus polyanthemos subsp. polyanthemos	NSW	Tree 8m tall. Bark ± smooth, ribbony at base, light grey over cream. Leaves dull blue green. Growing with E. melliodora, E. machrorhyncha, E. amplifolia and E. viminalis. Singleton.	-32.6936111111111	150.002777777778	Eucalyptus	Symphyomyrtus	Adnataria	Heterophloiae	""	polyanthemos	polyanthemos
CCA0677	CCA0677	Eucalyptus conica	CC01	D02	Yes	R047/T05	DN 747	Bylong, NSW	47	1994	5	747		1993-12-28	Eucalyptus conica	NSW	Tree 8m tall. Bark rough, box-type, grey. Leaves dull blue green. Growing in pure stands in undulating area. Singleton.	-32.4038888888889	150.222222222222	Eucalyptus	Symphyomyrtus	Adnataria	Heterophloiae	""	conica	""
CCA0681	CCA0681	Eucalyptus bridgesiana	CC01	E02	No	R047/T13	DN 760	Liverpool Range, NSW	47	1994	13	760		1993-12-28	Eucalyptus volcanica	NSW	Spreading tree 10x15m. Bark rough box-type, dark grey to small branches, then smooth white. Leaves glossy green. E. laevopina nearby. Gilgandra.	-31.7447222222222	149.952777777778	Eucalyptus	Symphyomyrtus	Maidenaria	Bridgesianae	""	bridgesiana	""
CCA0684	CCA0684	Eucalyptus macrorhyncha subsp. macrorhyncha	CC01	F02	No	R047/T16	DN 737	Grenfell, NSW	47	1994	16	737		1993-12-27	Eucalyptus macrorhyncha subsp. macrorhyncha	NSW	Tree 8m tall. Bark rough, stringy, grey brown over red brown. Leaves slightly glossy green. Growing on rise with E. polyanthermes, E. dealbata, E. microcarpa and E. albens. Forbes.	-33.9227777777778	148.413611111111	Eucalyptus	Eucalyptus	Eucalyptus	Pachyphloiae	""	macrorhyncha	macrorhyncha
CCA0687	CCA0687	Eucalyptus dawsonii	CC01	G02	Yes	R047/T19	DN 743	Ginghi, NSW	47	1994	19	743		1993-12-28	Eucalyptus dawsonii	NSW	Tree 18m tall. Bark smooth grey and pink over white. Leaves dull grey green. Buds and twigs glaucous. Growing on hillside with E. blakelyi. Singleton.	-32.6086111111111	150.074722222222	Eucalyptus	Symphyomyrtus	Adnataria	Buxeales	Amissae	dawsonii	""
CCA0691	CCA0691	Eucalyptus largiflorens	CC01	H02	No	R047/T23	-	Loxton, SA	47	1994	23									Eucalyptus	Symphyomyrtus	Adnataria	Buxeales	Subplatyphyllae	largiflorens	""
CCA0704-rep1	CCA0704	Eucalyptus melliodora	CC01	A03	Yes	R048/T13	DN 777	Rylstone, NSW	48	1994	13	777		1993-12-29	Eucalyptus melliodora	NSW	Tree 15m tall. Bark rough and variably patchy, yellow brown over cream. Leaves dull blue green. Growing with E. blakelyi on undulating area. Dubbo.	-32.7122222222222	149.966111111111	Eucalyptus	Symphyomyrtus	Adnataria	Melliodorae	""	melliodora	""
CCA0704-rep2	CCA0704	Eucalyptus melliodora	CC01	B03	Yes	R048/T13	DN 777	Rylstone, NSW	48	1994	13	777		1993-12-29	Eucalyptus melliodora	NSW	Tree 15m tall. Bark rough and variably patchy, yellow brown over cream. Leaves dull blue green. Growing with E. blakelyi on undulating area. Dubbo.	-32.7122222222222	149.966111111111	Eucalyptus	Symphyomyrtus	Adnataria	Melliodorae	""	melliodora	""
CCA0705	CCA0705	Eucalyptus melliodora	CC01	C03	No	R048/T14	DN 777	Rylstone, NSW	48	1994	14	777		1993-12-29	Eucalyptus melliodora	NSW	Tree 15m tall. Bark rough and variably patchy, yellow brown over cream. Leaves dull blue green. Growing with E. blakelyi on undulating area. Dubbo.	-32.7122222222222	149.966111111111	Eucalyptus	Symphyomyrtus	Adnataria	Melliodorae	""	melliodora	""
CCA0706	CCA0706	Eucalyptus melliodora	CC01	D03	Yes	R048/T15	DN 777	Rylstone, NSW	48	1994	15	777		1993-12-29	Eucalyptus melliodora	NSW	Tree 15m tall. Bark rough and variably patchy, yellow brown over cream. Leaves dull blue green. Growing with E. blakelyi on undulating area. Dubbo.	-32.7122222222222	149.966111111111	Eucalyptus	Symphyomyrtus	Adnataria	Melliodorae	""	melliodora	""
