Trip,Ident,Species,Coord_system,Latitude,Longitude,Date,Altitude_m,Collectors,Seeds,Location,Comments,MaxCoordUncertainty_m,Trip_comments,,,,,,,,,,,,,,,,
ChristmasTrip,CMD0001,Corymbia maculata,WGS84,-35.6727785,150.296111,14-NOV-18 1:52:12PM,-0.620873638,Helen Bothwell,N,Parking lot pullout E of road just entering Durras Beach N of Bateman's Bay ,"Weird tree - bark looks correct, but leaves are small and has many trunks - could be other species, hybrid, or influenced by being directly on coast",5,,,,,,,,,,,,,,,,,
ChristmasTrip,CMB0002,Corymbia maculata,WGS84,-35.76518864,150.1498347,22-DEC-18 5:55:56PM,10.65988897,Helen Bothwell,Y,W off A1 Hwy S of Batemans' Bay,,5,,,,,,,,,,,,,,,,,
ChristmasTrip,CMB0003,Corymbia maculata,WGS84,-35.76251088,150.1445105,22-DEC-18 6:21:57PM,17.83857636,Helen Bothwell,Y,W off A1 Hwy S of Batemans' Bay,,5,,,,,,,,,,,,,,,,,
ChristmasTrip,CMB0004,Corymbia maculata,WGS84,-36.18421901,150.0985728,22-DEC-18 8:44:32PM,40.54666008,Helen Bothwell,Y,E down Kianga Rd. off Hwy A1 S of Bateman's Bay,,5,,,,,,,,,,,,,,,,,
ChristmasTrip,CMB0005,Corymbia maculata,WGS84,-37.832778,144.973333,25-DEC-18 10:00:00AM,,Helen Bothwell,Y,Melbourne Royal Botanic Garden near Macpherson Robertson War Memorial Fountain,,5,,,,,,,,,,,,,,,,,
Trip1,EMW0001,Eucalyptus melliodora,WGS84,-36.18417333,150.0986026,20-JAN-19 8:04:01PM,121.3435516,Helen Bothwell & Susan Rutherford,Y,Wombeyan Cave Rd.,,5,,,,,,,,,,,,,,,,,
Trip1,EMW0002,Eucalyptus melliodora,WGS84,-34.29426229,150.0163724,20-JAN-19 8:57:36PM,163.0970959,Helen Bothwell & Susan Rutherford,Y,Wombeyan Cave Rd.,,5,,,,,,,,,,,,,,,,,
Trip1,EMW0003,Eucalyptus melliodora,WGS84,-34.2938706,150.0160115,20-JAN-19 9:27:50PM,169.7630332,Helen Bothwell & Susan Rutherford,Y,Wombeyan Cave Rd.,,5,,,,,,,,,,,,,,,,,
Trip1,EMW0004,Eucalyptus melliodora,WGS84,-34.30037412,150.0047701,20-JAN-19 10:08:09PM,193.350133,Helen Bothwell & Susan Rutherford,Y,Wombeyan Cave Rd.,,5,,,,,,,,,,,,,,,,,
Trip1,EMW0005,Eucalyptus melliodora,WGS84,-34.30002065,150.0023791,20-JAN-19 10:25:27PM,198.5510064,Helen Bothwell & Susan Rutherford,Y,Wombeyan Cave Rd.,Has lots of galls - haven't seen galls on other trees in this area,5,,,,,,,,,,,,,,,,,
