AccessionID,AccessionName,SampleID,SampleName,AnonName,PopulationName,Latitude,Longitude,Altitude,HaveBGISeq,BGIReadPairs
A25001,LB-U-1,S45001,U-1,LBM01A01,LB-U,-36.632668,144.35019,178,FALSE,NA
A25002,LB-U-2,S45002,U-2,LBM01B01,LB-U,-36.632668,144.35019,178,TRUE,51748359
A25003,LB-U-3,S45003,U-3,LBM01C01,LB-U,-36.632668,144.35019,178,TRUE,49508995
A25004,LB-U-4,S45004,U-4,LBM01D01,LB-U,-36.632668,144.35019,178,TRUE,43946060
A25005,LB-U-5,S45005,U-5,LBM01E01,LB-U,-36.632668,144.35019,178,TRUE,45661910
A25006,LB-U-6,S45006,U-6,LBM01F01,LB-U,-36.632668,144.35019,178,TRUE,39866055
A25007,LB-U-7,S45007,U-7,LBM01G01,LB-U,-36.632668,144.35019,178,TRUE,48762255
A25008,LB-U-8,S45008,U-8,LBM01H01,LB-U,-36.632668,144.35019,178,FALSE,NA
A25009,LB-U-9,S45009,U-9,LBM01A02,LB-U,-36.632668,144.35019,178,TRUE,44899469
A25010,LB-U-10,S45010,U-10,LBM01B02,LB-U,-36.632668,144.35019,178,TRUE,38382947
A25011,LB-P-1,S45011,P-1,LBM01C02,LB-P,-35.819633,145.31187,101,TRUE,52216334
A25012,LB-P-2,S45012,P-2,LBM01D02,LB-P,-35.819633,145.31187,101,FALSE,NA
A25013,LB-P-3,S45013,P-3,LBM01E02,LB-P,-35.819633,145.31187,101,TRUE,37908162
A25014,LB-P-4,S45014,P-4,LBM01F02,LB-P,-35.819633,145.31187,101,TRUE,44628102
A25015,LB-P-5,S45015,P-5,LBM01G02,LB-P,-35.819633,145.31187,101,TRUE,32702240
A25016,LB-P-6,S45016,P-6,LBM01H02,LB-P,-35.819633,145.31187,101,FALSE,NA
A25017,LB-P-7,S45017,P-7,LBM01A03,LB-P,-35.819633,145.31187,101,TRUE,39371035
A25018,LB-P-8,S45018,P-8,LBM01B03,LB-P,-35.819633,145.31187,101,TRUE,43025990
A25019,LB-P-9,S45019,P-9,LBM01C03,LB-P,-35.819633,145.31187,101,TRUE,41636166
A25020,LB-P-10,S45020,P-10,LBM01D03,LB-P,-35.819633,145.31187,101,TRUE,48708504
A25021,LB-G-1,S45021,G-1,LBM01E03,LB-G,-36.86476,148.85016,638,TRUE,54599947
A25022,LB-G-2,S45022,G-2,LBM01F03,LB-G,-36.86476,148.85016,638,TRUE,53869372
A25023,LB-G-3,S45023,G-3,LBM01G03,LB-G,-36.86476,148.85016,638,TRUE,44395378
A25024,LB-G-4,S45024,G-4,LBM01H03,LB-G,-36.86476,148.85016,638,FALSE,NA
A25025,LB-G-5,S45025,G-5,LBM01A04,LB-G,-36.86476,148.85016,638,FALSE,NA
A25026,LB-G-6,S45026,G-6,LBM01B04,LB-G,-36.86476,148.85016,638,FALSE,NA
A25027,LB-G-7,S45027,G-7,LBM01C04,LB-G,-36.86476,148.85016,638,TRUE,78153330
A25028,LB-G-8,S45028,G-8,LBM01D04,LB-G,-36.86476,148.85016,638,FALSE,NA
A25029,LB-G-9,S45029,G-9,LBM01E04,LB-G,-36.86476,148.85016,638,TRUE,45969678
A25030,LB-G-10,S45030,G-10,LBM01F04,LB-G,-36.86476,148.85016,638,FALSE,NA
A25031,LB-W1-1,S45031,W1-1,LBM01G04,LB-W1,-36.42797,144.41092,114,FALSE,NA
A25032,LB-W1-2,S45032,W1-2,LBM01H04,LB-W1,-36.42797,144.41092,114,FALSE,NA
A25033,LB-W1-3,S45033,W1-3,LBM01A05,LB-W1,-36.42797,144.41092,114,FALSE,NA
A25034,LB-W1-4,S45034,W1-4,LBM01B05,LB-W1,-36.42797,144.41092,114,TRUE,40189039
A25035,LB-W1-5,S45035,W1-5,LBM01C05,LB-W1,-36.42797,144.41092,114,TRUE,48117507
A25036,LB-W1-6,S45036,W1-6,LBM01D05,LB-W1,-36.42797,144.41092,114,TRUE,46368584
A25037,LB-W1-7,S45037,W1-7,LBM01E05,LB-W1,-36.42797,144.41092,114,FALSE,NA
A25038,LB-W1-8,S45038,W1-8,LBM01F05,LB-W1,-36.42797,144.41092,114,TRUE,42494783
A25039,LB-W1-9,S45039,W1-9,LBM01G05,LB-W1,-36.42797,144.41092,114,TRUE,57417111
A25040,LB-W1-10,S45040,W1-10,LBM01H05,LB-W1,-36.42797,144.41092,114,TRUE,38231403
A25041,LB-H-1,S45041,H-1,LBM01A06,LB-H,-36.63518,149.56728,186,FALSE,NA
A25042,LB-H-2,S45042,H-2,LBM01B06,LB-H,-36.63518,149.56728,186,TRUE,43575726
A25043,LB-H-3,S45043,H-3,LBM01C06,LB-H,-36.63518,149.56728,186,TRUE,29556656
A25044,LB-H-4,S45044,H-4,LBM01D06,LB-H,-36.63518,149.56728,186,TRUE,43944141
A25045,LB-H-5,S45045,H-5,LBM01E06,LB-H,-36.63518,149.56728,186,TRUE,47088839
A25046,LB-H-6,S45046,H-6,LBM01F06,LB-H,-36.63518,149.56728,186,TRUE,39886705
A25047,LB-H-7,S45047,H-7,LBM01G06,LB-H,-36.63518,149.56728,186,TRUE,40008127
A25048,LB-H-8,S45048,H-8,LBM01H06,LB-H,-36.63518,149.56728,186,TRUE,46405327
A25049,LB-H-9,S45049,H-9,LBM01A07,LB-H,-36.63518,149.56728,186,FALSE,NA
A25050,LB-H-10,S45050,H-10,LBM01B07,LB-H,-36.63518,149.56728,186,TRUE,38169075
A25051,LB-M-3,S45051,M-3,LBM01C07,LB-M,-34.630472,149.870892,?,FALSE,NA
A25052,LB-M-4,S45052,M-4,LBM01D07,LB-M,-34.630472,149.870892,?,FALSE,NA
A25053,LB-M-5,S45053,M-5,LBM01E07,LB-M,-34.630472,149.870892,?,FALSE,NA
A25054,LB-D-1,S45054,D-1,LBM01F07,LB-D,-36.3675,145.70232,268,TRUE,34196724
A25055,LB-D-2,S45055,D-2,LBM01G07,LB-D,-36.3675,145.70232,268,TRUE,36110091
A25056,LB-D-3,S45056,D-3,LBM01H07,LB-D,-36.3675,145.70232,268,TRUE,37928881
