SampleID,Species,Location,Date,Latitude,Longitude,Elevation,SampleName,Datum,Population,N,ReferenceSpecies,SetName
FDK10,Eucalyptus microcarpa,Dookie (private property),2013-10-31T00:00:00Z,-36.33119,145.70688,NA,FDK10,WGS84,NA,14,Eucalyptus albens,E_albens
J294,Eucalyptus albens,"Keepit, Old Menedebri Rd",2015-09-29T00:00:00Z,-30.8942,150.66708,NA,J294,WGS84,NA,225,Eucalyptus albens,E_albens
J296,Eucalyptus melliodora,"Namoi River, Dunmore Rd",2015-09-29T00:00:00Z,-30.65167,150.87812,NA,J296,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
J298,Eucalyptus sideroxylon,"Bundarra, Thunderbolts Way",2015-09-29T00:00:00Z,-30.15277,151.07437,NA,J298,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J301,Eucalyptus sideroxylon,"Gum Flat, Copeton Dam Rd",2015-09-30T00:00:00Z,-29.80812,150.91918,NA,J301,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J303,Eucalyptus albens,"Sawn Rocks, Kilarney Gap Rd",2015-09-30T00:00:00Z,-30.14391,150.05293,NA,J303,WGS84,NA,225,Eucalyptus albens,E_albens
J307,Eucalyptus crebra,"Narrabri, Newell Hwy",2015-09-30T00:00:00Z,-30.22665,149.8094,NA,J307,WGS84,NA,11,Eucalyptus caleyi,E_caleyi
J311,Eucalyptus fibrosa,"Pilliga, Newell Hwy",2015-09-30T00:00:00Z,-30.60224,149.58173,NA,J311,WGS84,NA,11,Eucalyptus caleyi,E_caleyi
J315,Eucalyptus fibrosa,"Pilliga, no 1 break rd",2015-09-30T00:00:00Z,-30.92855,149.36347,NA,J315,WGS84,NA,11,Eucalyptus caleyi,E_caleyi
J316,Eucalyptus crebra,"Pilliga, no 1 break rd",2015-09-30T00:00:00Z,-30.92855,149.36347,NA,J316,WGS84,NA,11,Eucalyptus caleyi,E_caleyi
J317,Eucalyptus crebra,"Sawn Rocks, parking lot",2015-09-30T00:00:00Z,-30.14459,150.0534,NA,J317,WGS84,NA,11,Eucalyptus caleyi,E_caleyi
J318,Eucalyptus melliodora,"Chaffey Dam, Tamworth Nundle Rd",2015-10-11T00:00:00Z,-31.37365,151.13779,NA,J318,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
J319,Eucalyptus melliodora,"Nundle, Crawney Rd",2015-10-11T00:00:00Z,-31.55948,151.05664,NA,J319,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
J320,Eucalyptus moluccana,"Timor, Crawney Rd",2015-10-11T00:00:00Z,-31.72257,151.10243,NA,J320,WGS84,NA,11,Eucalyptus albens,E_albens
J321g,Eucalyptus crebra,"Polkobin, Broke Rd",2015-10-12T00:00:00Z,-32.75326,151.25224,NA,J321g,WGS84,NA,11,Eucalyptus caleyi,E_caleyi
J322,Eucalyptus fibrosa,"Polkobin, Broke Rd",2015-10-12T00:00:00Z,-32.75342,151.25269,NA,J322,WGS84,NA,11,Eucalyptus caleyi,E_caleyi
J324,Eucalyptus conica,"Wollomi NP, Bylong Valley Way",2015-10-12T00:00:00Z,-32.44442,150.2812,NA,J324,WGS84,NA,18,Eucalyptus polyanthemos,E_polyanthemos
J326,Eucalyptus moluccana,"Rathdowney, Boonah Rathdowney Rd",2015-11-03T00:00:00Z,-28.21744,152.84309,NA,J326,WGS84,NA,11,Eucalyptus albens,E_albens
J327,Eucalyptus crebra,"Koreelah, Tooloom Rd",2015-11-03T00:00:00Z,-28.45172,152.3925,NA,J327,WGS84,NA,11,Eucalyptus caleyi,E_caleyi
J328,Eucalyptus moluccana,"Legume, Mt Lindsay Rd",2015-11-03T00:00:00Z,-28.43038,152.35915,NA,J328,WGS84,NA,11,Eucalyptus albens,E_albens
J329,Eucalyptus conica,"Legume, Mt Lindsay Rd",2015-11-03T00:00:00Z,-28.41028,152.29292,NA,J329,WGS84,NA,18,Eucalyptus polyanthemos,E_polyanthemos
J330,Eucalyptus fibrosa,"Karara, Cunningham Hwy",2015-11-04T00:00:00Z,-28.19138,151.61853,NA,J330,WGS84,NA,11,Eucalyptus caleyi,E_caleyi
J331,Eucalyptus crebra,"Gore, Cunningham Hwy",2015-11-04T00:00:00Z,-28.29549,151.48801,NA,J331,WGS84,NA,11,Eucalyptus caleyi,E_caleyi
J333,Eucalyptus caleyi,"Inglewood, Inglewood Texas Rd",2015-11-04T00:00:00Z,-28.52431,151.10556,NA,J333,WGS84,NA,9,Eucalyptus caleyi,E_caleyi
J333a,Eucalyptus caleyi,"Inglewood, Inglewood Texas Rd",2015-11-04T00:00:00Z,-28.52431,151.10556,NA,J333a,WGS84,NA,9,Eucalyptus caleyi,E_caleyi
J334,Eucalyptus moluccana,"Inglewood, Inglewood Texas Rd",2015-11-04T00:00:00Z,-28.53696,151.10815,NA,J334,WGS84,NA,11,Eucalyptus albens,E_albens
J335,Eucalyptus microcarpa,"Texas, Texas Bridge Road",2015-11-04T00:00:00Z,-28.89198,151.14803,NA,J335,WGS84,NA,14,Eucalyptus albens,E_albens
J338,Eucalyptus conica,"Tenterfield, Bluff rock lookout",2015-11-05T00:00:00Z,-29.15425,152.00211,NA,J338,WGS84,NA,18,Eucalyptus polyanthemos,E_polyanthemos
J339,Eucalyptus moluccana,"Emmaville, Strathbogie Rd",2015-11-05T00:00:00Z,-29.45636,151.55505,NA,J339,WGS84,NA,11,Eucalyptus albens,E_albens
J340,Eucalyptus melliodora,"Emmaville, Strathbogie Rd",2015-11-05T00:00:00Z,-29.45577,151.55405,NA,J340,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
J341,Eucalyptus albens,"Yellow Dam, Emmaville Rd",2015-11-05T00:00:00Z,-29.40223,151.41655,NA,J341,WGS84,NA,225,Eucalyptus albens,E_albens
J342,Eucalyptus sideroxylon,"Yellow Dam, Emmaville Rd",2015-11-05T00:00:00Z,-29.39087,151.39279,NA,J342,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J343,Eucalyptus crebra,"Yellow Dam, Emmaville Rd",2015-11-05T00:00:00Z,-29.35816,151.30991,NA,J343,WGS84,NA,11,Eucalyptus caleyi,E_caleyi
J344,Eucalyptus polyanthemos,"Pierces Creek State Forest, Vanitys Crossing",2015-11-19T00:00:00Z,-35.33962,148.91113000000001,NA,J344,WGS84,NA,10,Eucalyptus polyanthemos,E_polyanthemos
J345,Eucalyptus albens,"Mullion, Mountain Creek Rd.",2015-11-20T00:00:00Z,-35.07022,148.83685,NA,J345,WGS84,NA,225,Eucalyptus albens,E_albens
J346,Eucalyptus melliodora,"Mullion, Mountain Creek Rd.",2015-11-20T00:00:00Z,-35.06954,148.83661,NA,J346,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
J347,Eucalyptus polyanthemos,"Wee Jasper, Doctors Flat Rd.",2015-11-20T00:00:00Z,-35.09381,148.74881,NA,J347,WGS84,NA,10,Eucalyptus polyanthemos,E_polyanthemos
J348,Eucalyptus polyanthemos,"Wee Jasper, Wee Jasper Rd.",2015-11-20T00:00:00Z,-35.24184,148.29729,NA,J348,WGS84,NA,10,Eucalyptus polyanthemos,E_polyanthemos
J349,Eucalyptus albens,"Wee Jasper, Wee Jasper Rd.",2015-11-20T00:00:00Z,-35.24369,148.2968,NA,J349,WGS84,NA,225,Eucalyptus albens,E_albens
J350,Eucalyptus albens,"Tarcutta, Mates Gully Rd.",2015-11-20T00:00:00Z,-35.2456,147.68083,NA,J350,WGS84,NA,225,Eucalyptus albens,E_albens
J351,Eucalyptus polyanthemos,"Tarcutta, Mates Gully Rd.",2015-11-20T00:00:00Z,-35.25609,147.68506,NA,J351,WGS84,NA,10,Eucalyptus polyanthemos,E_polyanthemos
J353,Eucalyptus polyanthemos,"Blue Metal Rest Area, M31",2015-11-20T00:00:00Z,-35.8453,147.19722,NA,J353,WGS84,NA,10,Eucalyptus polyanthemos,E_polyanthemos
J354,Eucalyptus moluccana,"Blue Metal Rest Area, M31",2015-11-20T00:00:00Z,-35.84469,147.19794,NA,J354,WGS84,NA,11,Eucalyptus albens,E_albens
J355,Eucalyptus sideroxylon,"Chiltern, Chiltern-Howlong Rd.",2015-11-21T00:00:00Z,-36.09264,146.61917,NA,J355,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J355b,Eucalyptus sideroxylonXmicrocarpa,"Chiltern, Chiltern-Howlong Rd.",2015-11-21T00:00:00Z,-36.08961,146.62105,NA,J355b,WGS84,NA,1,Eucalyptus sideroxylon,E_sideroxylon
J357,Eucalyptus melliodora,"Collendina State Forest, Spring Dr.",2015-11-21T00:00:00Z,-36.019,146.29446,NA,J357,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
J358,Eucalyptus melliodora,"Urana, Walbundrie Rd.",2015-11-21T00:00:00Z,-35.38973,146.35303,NA,J358,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
J359,Eucalyptus sideroxylon,"Ingalba Nature Reserve, Hwy 94",2015-11-21T00:00:00Z,-34.47594,147.40941,NA,J359,WGS84,NA,173,Eucalyptus sideroxylon,E_sideroxylon
J360,Eucalyptus conica,"Orange, Old Forbes Rd.",2015-11-21T00:00:00Z,-34.01205,148.12904,NA,J360,WGS84,NA,18,Eucalyptus polyanthemos,E_polyanthemos
J361,Eucalyptus albens,"Nangar Natl Park, Dripping Rock Rd.",2015-11-22T00:00:00Z,-33.42118,148.51154,NA,J361,WGS84,NA,225,Eucalyptus albens,E_albens
